ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
1,1,8,12,16,19,24,34,38,42,45,48,41,44
1,2,8,13,18,26,33,40,46,56,54,63,45,55
1,3,2,4,7,6,12,26,32,37,39,24,13,36
1,4,2,6,9,10,16,27,31,35,36,30,19,36
1,5,0,4,6,6,11,25,28,33,32,20,11,32
1,6,0,3,5,4,9,25,29,33,32,15,8,32
1,7,0,3,5,4,10,25,29,32,33,17,9,33
1,8,0,3,5,4,10,26,30,34,33,16,8,33
1,9,1,4,7,7,12,24,28,33,31,28,18,32
1,10,2,5,7,10,17,28,32,35,42,37,23,37
1,11,0,3,6,5,11,24,28,30,31,20,11,30
1,12,1,4,6,6,12,25,28,32,32,24,13,32
1,13,0,3,5,4,10,25,30,33,33,18,10,33
1,14,1,4,7,7,12,23,27,29,31,18,12,30
1,15,3,5,7,8,11,24,28,30,35,24,16,31
1,16,3,7,10,14,18,29,33,39,40,38,24,39
1,17,5,7,11,14,19,31,35,39,44,42,27,41
1,18,6,12,17,25,30,36,41,51,48,60,38,50
1,19,2,4,7,7,13,31,35,39,39,22,12,40
1,20,1,3,6,4,11,29,34,36,38,16,8,38
1,21,1,3,5,4,10,27,32,35,35,16,8,36
1,22,3,4,7,8,14,29,35,41,39,22,14,39
1,23,5,9,14,18,25,40,47,53,61,52,31,55
1,24,6,11,16,21,30,48,56,64,66,64,39,66
1,25,5,9,13,19,27,42,48,53,60,55,35,56
1,26,3,6,10,11,16,31,38,48,42,32,19,44
1,27,7,12,18,25,36,47,55,65,71,80,49,67
1,28,6,11,15,20,29,37,43,50,60,62,41,53
1,29,6,9,13,18,26,39,45,52,54,55,35,52
1,30,6,9,13,17,25,40,47,55,60,61,37,54
1,31,5,10,14,20,26,34,39,45,46,49,31,46
1,32,5,7,10,14,18,29,33,38,44,45,28,40
1,33,4,9,8,4,11,25,30,33,35,20,12,33
1,34,7,12,17,24,31,39,43,53,55,73,45,53
1,35,10,14,19,28,34,41,46,53,59,80,54,54
1,36,10,14,20,27,37,48,55,62,68,82,56,64
1,37,10,15,19,26,33,41,46,52,61,79,53,54
1,38,9,14,19,27,35,51,57,65,69,78,50,66
1,39,10,14,20,25,34,48,55,64,66,74,51,64
1,40,9,12,16,22,29,37,43,49,54,75,50,50
1,41,8,14,19,26,33,44,50,57,58,79,55,58
1,42,9,14,19,27,34,40,45,52,57,82,53,53
1,43,7,12,17,22,29,41,46,53,53,71,47,55
1,44,8,14,19,25,31,41,45,53,51,72,49,52
1,45,8,15,21,28,35,44,49,57,58,76,52,57
1,46,8,13,18,25,30,39,44,51,50,72,48,52
1,47,7,13,18,25,30,39,44,50,54,74,51,50
1,48,7,13,18,26,34,44,50,58,58,69,43,59
1,49,7,13,18,26,32,41,46,54,59,76,48,53
1,50,9,14,20,25,35,48,54,61,63,80,57,61
1,51,7,14,19,28,36,43,49,57,63,79,50,59
1,52,6,11,16,19,28,45,51,57,58,63,44,58
1,53,5,12,17,24,33,42,47,57,63,71,45,59
1,54,6,12,18,25,35,47,54,61,66,74,46,63
1,55,6,12,17,21,31,50,57,63,64,71,45,64
1,56,5,10,14,16,23,41,48,55,54,57,41,56
1,57,5,10,16,23,31,40,46,56,58,71,43,57
1,58,5,12,16,25,32,39,44,50,57,71,45,52
1,59,7,12,17,25,33,44,50,57,61,77,50,59
1,60,6,10,15,21,29,37,43,49,55,68,40,52
1,61,5,9,17,18,31,46,52,66,58,66,37,63
1,62,7,12,16,22,32,43,49,57,55,71,48,58
1,63,6,11,16,23,31,40,45,53,56,69,44,54
1,64,6,11,18,21,33,51,59,67,66,67,41,69
1,65,6,9,16,19,29,54,61,69,66,67,41,70
1,66,6,11,16,22,30,43,49,56,58,70,42,57
1,67,8,14,21,29,37,45,49,55,56,75,50,56
1,68,10,17,23,31,35,41,46,51,51,74,58,52
1,69,7,11,17,23,29,39,44,51,51,72,44,52
1,70,7,12,17,25,31,43,49,56,58,73,46,59
1,71,17,24,34,46,58,70,76,82,84,94,68,85
1,72,8,13,20,25,35,52,59,68,65,76,49,69
1,73,11,20,29,42,49,57,63,71,73,92,62,72
1,74,11,19,27,37,45,59,65,75,72,81,60,76
1,75,14,23,31,45,51,59,63,71,71,93,65,71
1,76,8,13,20,22,36,61,70,80,80,75,47,81
1,77,8,12,18,22,32,51,57,67,68,74,52,66
1,78,9,13,20,25,35,49,55,62,64,75,48,65
1,79,8,12,19,23,33,51,57,65,64,73,47,65
1,80,9,15,24,29,40,64,73,80,81,74,46,81
1,81,11,17,26,36,41,56,64,77,70,77,59,73
1,82,10,18,27,33,44,56,63,72,72,80,51,72
1,83,11,16,22,29,39,54,61,70,74,83,54,71
1,84,9,14,21,26,36,53,60,73,68,75,51,73
1,85,9,15,21,30,38,47,53,63,62,82,53,63
1,86,9,13,20,26,34,47,53,60,61,73,47,61
1,87,5,9,16,21,34,50,58,65,69,70,43,66
1,88,6,13,21,24,37,56,63,71,72,78,49,70
1,89,7,14,21,31,38,47,52,59,59,83,58,60
1,90,6,13,21,24,36,57,62,70,71,86,57,72
1,91,5,11,20,29,44,59,68,79,77,90,56,79
1,92,6,14,23,33,42,56,62,72,69,84,56,71
1,93,6,18,29,43,50,62,68,78,77,93,64,78
1,94,21,37,50,73,87,95,103,116,119,105,68,115
1,95,15,28,42,60,72,83,91,104,103,103,65,103
1,96,5,12,21,29,36,51,58,66,64,80,54,68
1,97,4,10,17,25,36,53,61,69,70,80,49,71
1,98,5,14,22,33,40,50,56,66,65,87,60,66
1,99,7,17,27,38,50,65,73,84,80,86,55,84
1,100,6,13,18,27,34,50,56,64,61,90,60,66
1,101,3,11,18,25,35,48,55,63,62,77,53,64
1,102,3,10,17,23,33,45,50,59,61,74,51,60
1,103,4,10,19,20,34,72,81,89,86,73,45,88
1,104,8,19,29,45,53,61,67,76,74,93,63,79
