Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
0,Urban,1565,761,12.0,16.5,20.5,21.5,28.5,37.0,41.0,43.0,42.0,37.5,31.5,43.0
0,Urban,1544,639,11.0,17.0,21.0,24.0,27.5,36.0,39.0,41.0,42.0,37.5,30.5,41.0
0,Urban,1737,605,18.0,20.5,27.0,33.0,37.0,42.0,43.0,47.0,48.5,57.5,54.5,46.0
0,Urban,1436,472,10.0,15.5,20.0,21.5,27.5,39.0,45.5,48.5,50.5,43.0,34.0,48.0
0,Urban,1421,254,11.0,13.0,17.0,20.0,27.0,37.0,40.0,42.0,44.0,38.5,30.5,42.5
0,Urban,1459,134,15.0,19.5,25.5,28.0,32.5,42.0,43.0,48.5,45.5,45.5,39.5,44.5
0,Urban,1689,239,29.5,35.0,39.0,43.5,49.5,55.0,57.0,61.0,58.5,65.5,55.0,59.0
0,Urban,1770,364,8.0,14.0,22.0,26.0,32.5,43.0,46.0,50.5,51.5,49.5,41.0,50.5
0,Urban,1752,1166,8.0,16.0,19.5,22.5,26.5,42.5,47.5,52.5,52.0,49.0,38.5,51.5
0,Urban,1010,110,20.0,25.5,31.0,35.0,37.5,43.5,45.5,53.0,49.5,57.0,48.0,49.0
1,Farmland,1059,278,6.0,11.0,16.0,20.0,30.0,45.0,52.0,59.0,60.5,70.5,45.0,59.0
1,Farmland,1437,759,12.5,26.0,38.0,57.0,64.0,71.0,78.0,90.5,93.0,99.5,64.0,91.5
1,Farmland,1368,1339,6.0,11.0,16.0,21.0,31.5,50.0,57.5,66.5,66.0,73.0,45.0,66.5
1,Farmland,1742,1388,8.0,19.5,30.0,48.0,54.5,62.5,67.5,77.5,84.5,99.5,69.5,78.5
1,Farmland,2192,1378,9.0,18.0,25.0,37.5,42.0,46.0,50.0,55.5,57.0,92.5,68.0,58.0
1,Farmland,2352,1042,12.5,23.0,33.5,50.0,58.5,65.5,71.5,80.0,81.0,92.0,65.5,82.0
1,Farmland,2077,865,6.0,13.5,19.0,28.5,31.5,34.5,38.0,43.5,44.5,81.0,69.5,43.5
1,Farmland,2308,679,18.5,30.5,43.0,64.5,73.5,79.5,85.0,94.5,96.0,104.0,72.5,96.0
1,Farmland,2245,193,5.0,15.5,26.5,37.5,45.0,65.0,71.5,81.5,80.5,87.0,56.5,81.0
1,Farmland,1903,212,7.0,16.0,24.5,37.0,43.5,49.0,54.0,60.0,62.5,89.0,64.5,62.0
2,Grassland,1336,566,7.0,12.0,16.5,25.0,32.5,41.0,47.0,56.0,64.5,75.0,45.5,59.0
2,Grassland,1527,276,8.0,13.0,18.5,26.0,35.0,46.5,51.5,59.5,63.5,72.0,43.5,61.0
2,Grassland,706,509,3.0,7.5,11.0,18.0,22.0,28.5,33.5,40.5,44.0,60.0,35.5,43.0
2,Grassland,603,52,11.0,17.0,22.5,31.0,36.5,42.0,47.5,53.5,60.5,81.5,54.0,55.0
2,Grassland,365,182,10.0,14.5,19.5,27.5,33.5,41.5,46.0,53.0,57.5,77.0,53.0,54.0
2,Grassland,201,332,9.5,13.5,17.0,21.5,28.5,43.0,48.0,54.5,57.0,63.0,44.5,54.0
2,Grassland,360,178,9.5,14.5,19.0,26.5,32.5,40.5,45.5,51.5,58.0,75.5,53.5,53.5
2,Grassland,1393,586,6.0,10.5,15.0,24.0,32.0,41.5,48.0,56.0,59.5,68.0,40.0,58.0
2,Grassland,1347,844,5.0,10.0,15.5,23.0,32.0,42.0,49.5,58.5,64.0,68.0,40.0,62.0
2,Grassland,1287,597,8.0,13.5,19.0,27.0,36.5,48.5,55.0,63.0,71.0,80.0,52.5,66.5
3,Forest,744,1440,0.0,2.5,5.5,5.5,12.0,30.0,34.5,39.5,37.0,19.5,10.5,38.0
3,Forest,755,1299,0.0,2.0,4.5,3.5,10.0,28.0,32.0,35.5,35.0,15.0,7.0,35.0
3,Forest,756,1247,0.0,2.0,4.0,3.0,8.0,25.0,30.0,32.5,32.0,12.5,6.0,32.0
