Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
0,Urban,1565,761,12.0,18.0,21.5,23.0,29.0,37.0,40.0,42.0,42.5,38.0,31.5,42.5
0,Urban,1565,771,12.0,16.5,20.5,23.0,27.0,37.0,41.0,44.5,45.5,40.0,32.5,45.5
0,Urban,1575,761,12.5,18.0,21.0,25.5,29.5,38.5,42.5,48.0,45.5,40.0,35.5,46.0
0,Urban,1575,771,12.0,15.0,19.5,21.0,26.5,37.5,42.5,44.5,41.0,37.0,30.0,46.0
0,Urban,1544,639,11.5,17.5,20.5,23.5,27.0,37.0,39.5,41.0,40.0,35.5,30.0,41.0
0,Urban,1544,649,9.0,12.0,15.0,18.0,23.5,36.5,41.0,47.0,43.5,34.0,26.5,44.0
0,Urban,1554,639,11.5,16.5,21.0,23.0,30.0,42.0,47.0,53.5,46.5,45.5,36.0,50.0
0,Urban,1554,649,11.0,17.0,21.0,24.0,27.5,33.5,37.0,41.0,46.5,39.5,34.0,41.0
0,Urban,1737,605,18.0,24.5,30.0,36.0,40.5,48.0,51.5,55.5,54.5,62.0,54.5,54.0
0,Urban,1737,615,21.5,28.5,35.5,41.5,45.0,51.5,53.5,57.0,54.5,66.0,60.5,58.0
0,Urban,1747,605,21.0,32.0,44.5,54.0,52.5,53.0,54.5,62.0,60.5,69.5,67.5,57.0
0,Urban,1747,615,13.0,14.0,20.0,28.5,34.0,38.0,39.5,46.5,47.5,57.0,54.5,44.0
0,Urban,1436,472,10.0,16.5,20.5,21.5,30.0,39.0,45.0,44.5,47.0,42.0,34.0,47.0
0,Urban,1436,482,12.5,19.0,24.0,27.0,32.5,40.0,43.0,50.0,48.5,47.5,39.5,46.0
0,Urban,1446,472,12.0,20.5,25.0,30.5,33.0,41.5,45.0,47.0,49.5,45.0,40.0,47.0
0,Urban,1446,482,11.0,13.0,18.0,20.0,24.0,41.0,45.5,52.5,52.5,43.0,33.0,49.5
0,Urban,1421,254,11.0,16.0,19.5,22.0,27.5,34.5,37.5,39.5,44.0,39.0,35.5,39.5
0,Urban,1421,264,10.0,18.0,22.5,25.0,28.0,42.5,46.5,56.5,56.0,45.0,33.5,49.5
0,Urban,1431,254,11.5,15.0,18.5,22.0,24.5,34.5,39.5,42.0,44.5,38.0,32.0,43.5
0,Urban,1431,264,10.5,12.5,16.0,18.5,27.0,37.0,42.0,43.0,44.0,36.5,29.5,43.5
0,Urban,1459,134,15.0,17.0,21.5,23.5,31.5,39.5,42.5,52.5,45.5,43.5,39.5,43.5
0,Urban,1459,144,13.0,13.5,16.5,17.5,23.0,28.0,32.5,34.5,37.5,37.5,31.5,35.5
0,Urban,1469,134,14.0,15.5,18.0,20.5,24.0,31.5,35.5,32.5,47.0,38.0,31.0,38.0
0,Urban,1469,144,14.0,19.5,26.0,29.5,36.0,42.5,45.0,42.5,44.5,46.0,40.0,48.0
0,Urban,1689,239,24.0,26.5,31.0,35.0,38.0,45.0,47.5,53.5,52.0,51.0,48.5,50.5
0,Urban,1689,249,42.5,48.0,52.0,56.0,60.0,60.0,60.0,57.5,57.5,68.5,66.5,58.5
0,Urban,1699,239,17.5,23.0,29.5,35.0,39.0,51.0,54.5,60.5,56.5,67.5,59.5,61.0
0,Urban,1699,249,39.0,50.5,57.5,62.5,57.5,56.5,61.0,67.5,68.5,69.5,59.0,61.5
0,Urban,1770,364,6.5,12.0,20.0,23.5,31.0,46.0,50.5,52.5,52.5,46.5,37.5,53.0
0,Urban,1770,374,13.0,18.0,23.5,29.5,32.5,36.5,42.5,49.0,46.0,43.0,37.5,45.0
0,Urban,1780,364,7.0,12.5,16.5,21.0,25.5,33.0,37.5,44.5,43.0,38.0,30.5,40.5
0,Urban,1780,374,8.5,16.5,23.5,29.0,34.0,41.0,45.0,49.5,50.5,51.0,43.5,50.0
0,Urban,1752,1166,12.0,21.5,27.0,35.0,38.0,46.5,51.5,59.0,55.5,54.0,46.0,57.5
0,Urban,1752,1176,7.5,13.5,23.0,30.5,38.5,49.0,52.0,59.5,70.0,80.5,53.0,61.0
0,Urban,1762,1166,8.5,17.0,22.0,27.0,34.0,44.0,47.0,52.5,54.5,56.5,46.0,51.5
0,Urban,1762,1176,7.0,6.0,10.0,14.0,22.5,37.5,42.5,49.0,49.5,41.5,29.5,47.5
0,Urban,1010,110,18.0,24.5,30.0,34.0,39.5,49.0,53.5,59.0,54.0,64.0,49.0,59.5
0,Urban,1010,120,22.5,28.5,32.5,39.0,40.5,42.0,43.5,46.0,44.0,55.5,53.5,45.0
0,Urban,1020,110,18.0,19.0,24.0,28.5,32.5,35.5,36.5,39.5,40.0,42.5,40.5,38.0
0,Urban,1020,120,21.5,25.5,31.0,35.0,37.5,42.5,42.5,52.0,45.0,52.0,47.5,46.5
1,Farmland,1059,278,5.0,9.5,14.0,17.5,30.0,45.0,52.0,59.0,61.5,70.0,44.0,59.5
1,Farmland,1059,288,7.0,13.5,19.0,23.0,30.0,46.5,52.0,61.0,61.5,72.0,49.0,59.5
1,Farmland,1069,278,7.0,13.0,19.0,26.0,35.5,48.5,54.5,64.0,67.5,85.0,53.5,64.5
1,Farmland,1069,288,7.0,12.0,17.5,20.5,31.0,44.0,49.5,57.5,58.5,71.0,47.5,57.5
1,Farmland,1437,759,11.0,23.0,34.0,54.0,62.0,67.5,74.0,84.0,91.0,100.5,65.5,86.5
1,Farmland,1437,769,20.5,33.5,45.0,68.0,78.0,85.5,92.5,107.0,108.5,89.5,58.5,105.0
1,Farmland,1447,759,9.0,15.5,24.5,36.5,46.5,55.0,61.5,73.0,76.5,83.0,55.0,72.5
1,Farmland,1447,769,16.0,30.5,42.5,63.5,69.0,75.5,82.0,98.5,99.0,92.5,59.5,93.5
1,Farmland,1368,1339,6.0,11.0,16.0,21.0,31.0,50.5,58.0,67.0,66.0,72.5,45.5,67.5
1,Farmland,1368,1349,6.5,11.5,16.5,24.0,33.5,53.0,60.5,69.0,72.5,72.0,44.5,70.5
1,Farmland,1378,1339,6.0,10.0,15.5,21.0,31.0,50.0,58.5,67.0,67.5,73.5,45.0,68.0
1,Farmland,1378,1349,7.0,11.0,16.5,22.0,32.5,46.0,54.0,61.5,66.5,73.5,45.0,62.5
1,Farmland,1742,1388,8.0,20.0,32.0,49.0,55.0,64.5,69.5,80.5,84.5,99.5,70.0,79.5
1,Farmland,1742,1398,11.0,22.0,32.0,51.0,58.0,65.0,70.5,79.0,86.0,106.0,74.0,82.0
1,Farmland,1752,1388,10.0,24.0,36.5,55.0,62.5,69.5,75.0,85.5,90.0,108.5,75.0,85.5
1,Farmland,1752,1398,8.5,15.5,22.5,34.5,45.5,60.5,67.5,73.0,83.5,93.5,68.5,78.5
1,Farmland,2192,1378,11.0,20.5,28.0,40.5,44.5,48.5,53.0,61.0,59.0,98.0,75.0,60.5
1,Farmland,2192,1388,10.5,19.0,26.5,39.0,43.0,46.5,51.0,58.0,58.0,94.0,73.5,58.5
1,Farmland,2202,1378,9.0,16.5,23.5,35.0,40.0,44.0,48.5,56.5,56.5,90.5,65.0,56.5
1,Farmland,2202,1388,8.5,16.5,23.5,36.5,40.0,43.0,47.5,54.0,55.0,88.5,65.0,54.5
1,Farmland,2352,1042,11.5,21.5,31.0,46.5,54.5,63.0,68.0,76.5,78.5,90.0,64.0,77.5
1,Farmland,2352,1052,12.0,22.0,33.0,49.5,58.5,66.5,72.5,80.0,85.0,92.5,64.5,82.5
1,Farmland,2362,1042,13.5,24.0,34.0,51.5,61.0,66.0,72.0,81.5,82.0,96.5,69.0,82.5
1,Farmland,2362,1052,14.0,24.0,35.0,54.5,62.5,68.0,73.5,82.5,84.0,97.5,68.5,84.0
1,Farmland,2077,865,6.0,13.0,18.5,27.5,31.5,34.0,37.0,42.5,43.5,79.5,69.0,43.0
1,Farmland,2077,875,6.5,14.0,20.0,29.0,31.5,35.5,38.5,44.0,43.0,82.0,70.5,44.0
1,Farmland,2087,865,6.0,14.5,21.0,30.0,34.5,38.5,42.0,47.0,45.0,82.5,71.5,47.5
1,Farmland,2087,875,6.0,14.0,19.5,29.0,32.0,35.0,38.5,43.5,45.0,81.0,69.5,44.0
1,Farmland,2308,679,19.5,30.5,43.0,64.5,75.5,81.0,86.0,94.5,101.0,104.0,72.5,97.0
1,Farmland,2308,689,19.0,32.5,46.0,68.0,76.0,81.5,88.0,98.0,97.5,106.0,72.0,98.5
1,Farmland,2318,679,16.0,26.5,38.0,57.0,67.0,72.0,78.5,86.0,90.0,100.0,69.0,89.0
1,Farmland,2318,689,18.0,30.5,43.0,64.5,72.0,78.5,84.5,94.5,94.5,104.5,72.0,95.0
1,Farmland,2245,193,5.0,14.0,24.5,32.5,44.5,59.0,64.5,75.5,71.0,85.0,56.5,74.5
1,Farmland,2245,203,5.0,14.5,24.0,34.0,43.0,50.5,55.5,66.0,63.5,85.5,57.5,65.0
1,Farmland,2255,193,6.0,17.0,25.5,34.5,45.0,57.5,63.5,73.0,71.5,83.0,56.0,72.5
1,Farmland,2255,203,5.5,16.0,27.5,38.0,49.5,66.5,72.0,83.5,83.0,87.5,58.0,82.0
1,Farmland,1903,212,6.0,15.0,22.5,35.0,41.5,46.5,51.0,58.5,59.5,89.5,67.5,59.0
1,Farmland,1903,222,11.0,16.5,26.0,39.5,44.5,50.0,54.5,63.5,58.0,78.0,59.5,63.0
1,Farmland,1913,212,7.0,16.5,24.5,37.0,44.5,50.5,55.0,66.0,65.0,95.5,68.0,64.0
1,Farmland,1913,222,11.0,19.5,27.5,41.0,48.0,57.0,61.0,65.0,70.0,88.5,62.5,70.0
2,Grassland,1336,566,7.0,12.0,16.5,24.5,32.5,40.5,46.0,54.0,64.0,75.0,46.0,57.0
2,Grassland,1336,576,6.0,11.0,15.0,22.0,30.0,39.5,45.5,54.5,65.0,73.5,43.0,57.0
2,Grassland,1346,566,7.0,12.0,17.0,26.5,33.5,41.5,48.0,57.5,66.0,76.0,44.5,60.0
2,Grassland,1346,576,7.0,11.5,16.5,25.5,32.5,41.0,47.5,57.5,66.0,76.0,45.0,59.5
2,Grassland,1527,276,8.0,12.0,17.5,25.0,32.5,43.0,48.5,56.5,60.5,70.0,43.5,57.5
2,Grassland,1527,286,9.0,14.0,20.0,28.0,37.0,49.5,56.0,64.0,67.0,74.0,45.0,65.0
2,Grassland,1537,276,7.5,12.0,17.0,24.0,32.5,44.0,50.0,57.0,57.0,67.5,41.0,58.5
2,Grassland,1537,286,8.5,13.5,19.0,26.5,35.5,47.5,53.0,61.0,64.0,72.0,43.5,63.0
2,Grassland,706,509,3.0,7.5,11.0,18.0,22.0,28.0,33.0,40.5,43.0,56.5,35.0,43.0
2,Grassland,706,519,4.0,9.5,14.5,24.0,28.0,33.5,38.5,47.5,52.5,70.5,43.5,48.5
2,Grassland,716,509,4.0,9.0,13.0,21.0,26.0,31.0,35.0,41.5,48.5,68.5,42.5,45.0
2,Grassland,716,519,3.5,7.5,10.0,17.0,23.0,29.5,34.0,40.5,47.5,62.0,36.0,42.5
2,Grassland,603,52,9.5,16.5,23.0,32.0,37.5,45.5,49.5,58.5,65.5,81.5,52.5,58.5
2,Grassland,603,62,12.5,18.5,24.0,33.0,40.0,46.0,50.5,56.0,62.5,86.0,59.0,57.0
2,Grassland,613,52,9.0,14.5,19.5,27.5,33.0,39.0,44.0,50.5,59.0,74.5,49.5,52.5
2,Grassland,613,62,12.0,17.5,22.0,30.5,36.0,41.5,46.0,51.0,58.5,81.0,55.0,52.5
2,Grassland,365,182,10.0,14.0,19.5,27.5,32.5,44.0,48.5,55.5,57.0,76.0,51.0,56.0
2,Grassland,365,192,9.0,14.0,19.0,27.0,33.0,39.0,43.5,50.5,56.0,77.0,53.0,51.5
2,Grassland,375,182,9.5,15.0,20.0,27.0,32.0,38.5,43.0,48.5,55.0,79.5,53.5,50.0
2,Grassland,375,192,9.5,15.0,19.5,27.5,34.5,41.0,45.5,51.5,58.5,81.0,54.0,54.0
