Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
0,Urban,1565,761,12.0,19.0,22.0,23.0,30.0,37.0,40.0,42.0,43.0,40.0,37.0,43.0
0,Urban,1565,766,11.0,15.0,18.0,20.0,27.0,38.0,43.0,48.0,45.0,36.0,29.0,44.0
0,Urban,1565,771,14.0,15.0,20.0,26.0,32.0,38.0,42.0,48.0,44.0,40.0,36.0,45.0
0,Urban,1565,776,13.0,19.0,28.0,34.0,43.0,60.0,65.0,76.0,82.0,80.0,59.0,73.0
0,Urban,1570,761,11.0,11.0,16.0,19.0,26.0,40.0,44.0,43.0,47.0,37.0,29.0,45.0
0,Urban,1570,766,12.0,12.0,17.0,20.0,29.0,37.0,40.0,42.0,42.0,37.0,30.0,42.0
0,Urban,1570,771,12.0,16.0,21.0,25.0,29.0,36.0,39.0,43.0,42.0,40.0,34.0,42.0
0,Urban,1570,776,12.0,18.0,21.0,25.0,27.0,40.0,45.0,53.0,47.0,39.0,31.0,47.0
0,Urban,1575,761,12.0,17.0,21.0,24.0,27.0,36.0,41.0,44.0,47.0,40.0,32.0,45.0
0,Urban,1575,766,12.0,15.0,20.0,24.0,28.0,37.0,41.0,48.0,44.0,42.0,35.0,44.0
0,Urban,1575,771,13.0,17.0,21.0,22.0,28.0,37.0,42.0,45.0,41.0,37.0,32.0,45.0
0,Urban,1575,776,13.0,19.0,23.0,26.0,29.0,36.0,40.0,45.0,44.0,39.0,34.0,41.0
0,Urban,1580,761,12.0,14.0,18.0,20.0,26.0,34.0,37.0,41.0,42.0,38.0,31.0,40.0
0,Urban,1580,766,12.0,16.0,20.0,22.0,27.0,38.0,42.0,47.0,44.0,42.0,34.0,46.0
0,Urban,1580,771,11.0,11.0,15.0,17.0,26.0,36.0,43.0,48.0,44.0,39.0,31.0,46.0
0,Urban,1580,776,11.0,13.0,15.0,17.0,23.0,38.0,43.0,44.0,40.0,37.0,24.0,47.0
0,Urban,1544,639,11.0,20.0,23.0,26.0,29.0,37.0,40.0,41.0,40.0,40.0,34.0,41.0
0,Urban,1544,644,20.0,32.0,39.0,44.0,47.0,46.0,46.0,48.0,46.0,60.0,58.0,46.0
0,Urban,1544,649,12.0,19.0,27.0,32.0,38.0,44.0,48.0,57.0,47.0,54.0,44.0,51.0
0,Urban,1544,654,11.0,14.0,18.0,21.0,25.0,40.0,44.0,46.0,45.0,39.0,33.0,48.0
0,Urban,1549,639,9.0,13.0,17.0,18.0,20.0,33.0,37.0,44.0,40.0,30.0,25.0,39.0
0,Urban,1549,644,12.0,12.0,13.0,15.0,20.0,37.0,39.0,39.0,40.0,29.0,21.0,41.0
0,Urban,1549,649,13.0,12.0,17.0,17.0,28.0,39.0,43.0,53.0,47.0,42.0,34.0,46.0
0,Urban,1549,654,11.0,16.0,21.0,23.0,28.0,42.0,45.0,52.0,44.0,43.0,35.0,50.0
0,Urban,1554,639,9.0,7.0,11.0,12.0,22.0,37.0,42.0,48.0,43.0,34.0,24.0,44.0
0,Urban,1554,644,10.0,12.0,17.0,19.0,23.0,34.0,38.0,44.0,44.0,35.0,29.0,43.0
0,Urban,1554,649,13.0,17.0,22.0,24.0,29.0,34.0,38.0,48.0,47.0,40.0,36.0,41.0
0,Urban,1554,654,10.0,9.0,15.0,17.0,25.0,38.0,43.0,43.0,47.0,36.0,33.0,46.0
0,Urban,1559,639,10.0,14.0,20.0,25.0,28.0,38.0,43.0,45.0,44.0,42.0,33.0,44.0
